diabetes-data.tar.Z,183.2 KB,README,682 Bytes,Index,115 Bytes
E,C,A,B,E,A
E,B,D,E,B,B
E,D,C,B,E,A
E,E,E,E,B,B
E,B,E,E,E,D
E,B,B,C,E,E
E,A,D,B,E,A
E,C,C,D,C,A
D,A,C,D,C,D
D,A,E,A,E,D
D,E,D,D,C,B
D,A,C,E,B,B
A,C,C,B,A,B
E,D,C,E,B,E
D,A,B,C,B,A
E,D,A,E,B,E
C,C,C,A,B,E
D,D,E,E,E,D
B,C,D,E,B,B
A,C,C,E,C,A
B,B,E,D,C,D
E,E,B,D,B,B
D,C,C,A,A,C
C,B,A,A,C,A
E,D,C,D,D,C
E,B,C,B,B,A
E,E,E,A,C,D
E,A,A,B,B,D
E,E,B,B,A,E
E,B,B,B,B,D
D,C,B,D,D,E
E,B,B,D,D,B
B,C,C,A,C,D
C,C,D,C,C,E
D,E,B,C,C,C
E,A,C,D,D,C
E,C,B,B,D,C
D,D,C,E,B,D
C,D,C,E,C,C
E,A,B,B,E,B
D,A,C,B,E,E
E,B,B,C,C,B
D,E,E,B,C,E
B,B,C,E,D,D
A,E,D,E,E,E
D,B,A,B,B,E
E,E,E,A,E,C
E,A,E,D,D,A
E,C,C,D,B,B
A,B,D,C,A,B
E,B,C,C,B,D
D,A,C,A,C,B
A,B,C,A,E,C
E,D,E,C,E,B
C,D,C,D,C,B
A,D,C,C,C,D
D,D,C,D,E,E
E,B,E,B,C,C
B,C,D,D,D,E
E,D,B,E,B,E
A,A,A,E,D,D
B,C,C,C,E,C
E,C,E,D,E,A
B,B,A,C,A,B
C,B,C,B,A,D
D,D,C,B,C,D
C,A,A,D,B,C
B,C,A,B,C,D
E,E,D,E,B,B
A,E,E,E,C,A
D,D,D,D,D,E
A,B,C,E,B,C
A,E,E,E,D,B
A,C,C,B,B,B
D,E,A,A,A,B
A,C,A,D,C,B
B,A,E,B,A,A
C,B,B,C,C,E
E,D,B,C,B,C
A,D,E,D,C,D
E,C,E,E,B,B
C,E,D,E,D,E
B,B,D,E,E,D
A,C,A,A,D,C
E,C,D,E,A,D
E,A,C,D,D,D
A,C,E,D,C,D
E,E,C,E,B,B
B,E,E,D,B,B
B,D,C,C,D,D
C,A,C,C,D,E
E,A,C,D,C,B
E,A,C,C,A,E
E,C,E,B,D,C
C,A,C,E,C,D
C,B,C,E,C,D
B,C,A,A,A,B
B,D,B,D,C,D
A,A,A,D,C,B
E,D,E,D,A,A
