Passengerid,Age,Fare,Sex,sibsp,zero,zero.1,zero.2,zero.3,zero.4,zero.5,zero.6,Parch,zero.7,zero.8,zero.9,zero.10,zero.11,zero.12,zero.13,zero.14,Pclass,zero.15,zero.16,Embarked,zero.17,zero.18,2urvived
17,70,47,67,56,40,38,68,66,47,37,66,46,71,32,62,41,67,61,28,47,64,82,56,40,54,56,48
47,58,54,61,53,34,12,58,35,67,53,66,41,45,41,51,51,14,50,56,27,60,44,52,37,55,39,2
38,42,63,60,56,52,40,41,60,55,58,60,44,53,66,95,61,59,48,31,17,41,13,51,61,33,34,49
90,59,49,42,49,58,39,42,50,57,28,37,53,54,49,47,69,71,78,46,54,40,44,44,59,38,41,21
63,31,46,36,53,69,46,90,66,47,39,32,63,24,56,69,51,46,66,61,43,35,74,42,57,46,65,79
58,82,51,40,72,43,38,65,53,51,60,68,66,58,66,68,75,66,75,40,41,55,56,44,60,55,59,48
31,66,55,46,65,42,47,54,48,33,65,70,59,59,41,52,55,47,43,85,46,63,27,57,65,45,48,65
72,62,72,68,41,25,51,37,45,46,52,57,47,46,43,48,38,33,25,34,48,46,51,75,46,35,45,38
55,50,34,38,47,62,80,34,44,46,28,65,43,42,68,52,38,50,58,36,47,47,63,39,51,14,30,68
40,54,74,48,38,73,54,53,59,18,50,25,32,15,25,29,66,35,36,49,24,57,39,16,52,60,69,43
45,43,44,64,49,39,44,56,36,43,49,32,47,63,50,48,47,51,43,35,62,60,49,51,57,36,31,77
61,41,72,30,23,35,42,74,51,66,49,64,58,77,47,43,40,56,43,57,72,60,58,66,30,53,66,54
59,49,48,71,46,66,61,10,50,47,36,70,44,47,69,62,50,51,86,53,53,37,92,68,51,45,33,46
45,57,11,54,51,30,72,51,78,55,36,39,66,47,29,78,62,36,34,44,32,35,72,67,32,54,44,35
44,65,58,59,54,42,50,36,69,88,52,40,74,69,50,35,51,24,40,47,41,54,62,50,49,71,58,40
59,38,32,39,38,49,59,70,50,48,54,36,46,42,36,27,66,40,32,37,59,42,49,21,46,51,55,52
61,61,49,41,28,21,65,65,55,63,30,47,40,54,46,55,60,33,19,86,32,55,16,49,45,35,44,80
48,51,36,37,81,62,54,42,56,63,30,38,31,29,2,52,6,51,29,38,70,69,64,51,59,33,58,32
